,n_receipts,n_anomalies,percent
296,2,0,0.0
297,4,0,0.0
298,13,2,0.15384615384615385
299,8,0,0.0
300,1,0,0.0
301,2,0,0.0
302,2,0,0.0
303,35,9,0.2571428571428571
304,2,0,0.0
305,2,0,0.0
306,3,0,0.0
307,1,0,0.0
308,1,0,0.0
309,3,0,0.0
310,1,0,0.0
311,1,0,0.0
312,7,0,0.0
313,10,0,0.0
314,15,0,0.0
315,1,0,0.0
316,10,0,0.0
317,1,0,0.0
318,25,0,0.0
319,5,0,0.0
320,11,0,0.0
321,6,0,0.0
322,57,0,0.0
323,53,0,0.0
324,1,0,0.0
325,3,0,0.0
326,12,0,0.0
327,1,0,0.0
328,1,0,0.0
329,4,0,0.0
330,8,0,0.0
331,27,0,0.0
332,9,0,0.0
333,2,0,0.0
334,52,0,0.0
335,5,0,0.0
336,1,0,0.0
337,6,0,0.0
338,2,0,0.0
339,19,0,0.0
340,41,0,0.0
341,7,0,0.0
342,4,0,0.0
343,3,0,0.0
344,3,0,0.0
345,2,0,0.0
346,4,0,0.0
347,7,0,0.0
348,2,0,0.0
349,4,0,0.0
350,5,0,0.0
351,4,0,0.0
352,4,0,0.0
353,1,0,0.0
354,21,0,0.0
355,2,0,0.0
356,7,0,0.0
357,1,0,0.0
358,1,1,1.0
359,18,0,0.0
360,93,3,0.03225806451612903
361,1,0,0.0
362,2,0,0.0
363,2,0,0.0
364,25,1,0.04
365,2,0,0.0
366,1,0,0.0
367,5,0,0.0
368,3,0,0.0
369,1,0,0.0
370,2,0,0.0
371,9,0,0.0
372,1,0,0.0
373,20,1,0.05
374,1,0,0.0
375,1,0,0.0
376,4,1,0.25
377,17,0,0.0
378,1,0,0.0
379,2,0,0.0
380,7,0,0.0
381,4,0,0.0
382,6,0,0.0
383,4,0,0.0
384,2,0,0.0
385,2,0,0.0
386,1,0,0.0
387,3,0,0.0
388,5,0,0.0
389,12,0,0.0
390,52,13,0.25
391,2,0,0.0
392,13,0,0.0
393,17,0,0.0
394,15,0,0.0
395,7,0,0.0
396,11,0,0.0
397,1,0,0.0
398,1,0,0.0
399,1,0,0.0
400,7,0,0.0
401,7,0,0.0
402,54,0,0.0
403,6,0,0.0
404,4,0,0.0
405,4,0,0.0
406,4,0,0.0
407,53,0,0.0
408,1,0,0.0
409,74,0,0.0
410,50,0,0.0
411,51,0,0.0
412,21,0,0.0
413,75,1,0.013333333333333334
414,84,0,0.0
415,40,0,0.0
416,7,0,0.0
417,17,0,0.0
418,4,0,0.0
419,36,0,0.0
420,14,0,0.0
421,23,0,0.0
422,1,0,0.0
423,2,0,0.0
424,36,0,0.0
425,76,3,0.039473684210526314
426,8,0,0.0
427,3,0,0.0
428,1,0,0.0
429,6,0,0.0
430,43,0,0.0
431,29,0,0.0
432,2,0,0.0
433,18,0,0.0
434,11,0,0.0
435,4,0,0.0
436,7,0,0.0
437,31,0,0.0
438,4,0,0.0
439,2,0,0.0
440,1,0,0.0
441,2,0,0.0
442,5,0,0.0
443,2,0,0.0
444,5,0,0.0
445,1,0,0.0
446,31,0,0.0
447,1,0,0.0
448,1,0,0.0
449,1,0,0.0
450,5,0,0.0
451,2,0,0.0
452,5,0,0.0
453,7,0,0.0
454,3,0,0.0
455,15,0,0.0
456,24,11,0.4583333333333333
457,2,0,0.0
458,15,1,0.06666666666666667
459,12,0,0.0
460,2,0,0.0
461,9,0,0.0
462,1,0,0.0
463,1,0,0.0
464,13,0,0.0
465,3,0,0.0
466,6,0,0.0
467,8,0,0.0
468,3,0,0.0
469,7,0,0.0
470,3,0,0.0
471,7,0,0.0
472,4,0,0.0
473,23,0,0.0
474,32,0,0.0
475,1,0,0.0
476,14,0,0.0
477,1,0,0.0
478,16,0,0.0
479,5,0,0.0
480,1,0,0.0
481,39,0,0.0
482,63,1,0.015873015873015872
483,78,0,0.0
484,3,0,0.0
485,1,0,0.0
486,4,0,0.0
487,5,0,0.0
488,15,0,0.0
489,31,3,0.0967741935483871
490,51,3,0.058823529411764705
491,2,0,0.0
492,2,0,0.0
493,6,0,0.0
494,12,0,0.0
495,1,0,0.0
496,12,0,0.0
497,3,0,0.0
498,2,0,0.0
499,3,0,0.0
500,1,0,0.0
501,4,0,0.0
502,1,0,0.0
503,7,0,0.0
504,1,0,0.0
505,1,0,0.0
506,1,0,0.0
507,9,0,0.0
508,5,0,0.0
509,13,0,0.0
510,2,0,0.0
511,2,0,0.0
512,58,39,0.6724137931034483
513,4,0,0.0
514,4,0,0.0
515,30,0,0.0
516,5,0,0.0
517,23,0,0.0
518,1,0,0.0
519,31,1,0.03225806451612903
520,4,0,0.0
521,2,0,0.0
522,41,0,0.0
523,5,0,0.0
524,8,0,0.0
525,13,0,0.0
526,70,0,0.0
527,13,0,0.0
528,10,0,0.0
529,1,0,0.0
530,15,0,0.0
531,23,0,0.0
532,77,0,0.0
533,1,0,0.0
534,44,1,0.022727272727272728
535,2,0,0.0
536,6,0,0.0
537,2,0,0.0
538,68,2,0.029411764705882353
539,1,0,0.0
540,20,3,0.15
541,8,0,0.0
542,24,0,0.0
543,45,1,0.022222222222222223
544,2,0,0.0
545,3,0,0.0
546,2,0,0.0
547,24,0,0.0
548,13,0,0.0
549,1,0,0.0
550,6,0,0.0
551,11,0,0.0
552,13,0,0.0
