n_receipts,n_anomalies,percent
36,2,0.05555555555555555
5,1,0.2
20,3,0.15
1,1,1.0
4,0,0.0
4,0,0.0
24,0,0.0
3,0,0.0
16,2,0.125
1,0,0.0
5,0,0.0
11,3,0.2727272727272727
3,0,0.0
10,1,0.1
15,0,0.0
31,2,0.06451612903225806
1,0,0.0
10,0,0.0
1,0,0.0
11,0,0.0
2,0,0.0
10,0,0.0
6,0,0.0
3,1,0.3333333333333333
2,0,0.0
17,0,0.0
5,0,0.0
13,4,0.3076923076923077
21,7,0.3333333333333333
2,0,0.0
8,7,0.875
19,0,0.0
37,4,0.10810810810810811
7,0,0.0
6,1,0.16666666666666666
25,0,0.0
6,1,0.16666666666666666
15,9,0.6
14,0,0.0
34,0,0.0
18,0,0.0
5,0,0.0
20,2,0.1
4,0,0.0
18,0,0.0
54,14,0.25925925925925924
45,0,0.0
5,1,0.2
3,2,0.6666666666666666
3,0,0.0
9,1,0.1111111111111111
3,3,1.0
13,0,0.0
5,0,0.0
5,0,0.0
20,8,0.4
3,1,0.3333333333333333
11,0,0.0
12,1,0.08333333333333333
3,1,0.3333333333333333
5,0,0.0
14,0,0.0
1,0,0.0
2,2,1.0
2,0,0.0
8,0,0.0
17,0,0.0
3,0,0.0
104,17,0.16346153846153846
4,3,0.75
5,2,0.4
1,0,0.0
1,0,0.0
1,0,0.0
18,11,0.6111111111111112
3,0,0.0
1,0,0.0
153,1,0.006535947712418301
20,1,0.05
25,0,0.0
6,0,0.0
16,0,0.0
17,10,0.5882352941176471
22,0,0.0
104,39,0.375
19,0,0.0
19,0,0.0
231,1,0.004329004329004329
15,0,0.0
19,0,0.0
19,0,0.0
2,2,1.0
8,0,0.0
16,1,0.0625
1,1,1.0
19,0,0.0
15,1,0.06666666666666667
4,0,0.0
1,0,0.0
7,0,0.0
26,21,0.8076923076923077
1,0,0.0
9,0,0.0
12,0,0.0
1,0,0.0
22,1,0.045454545454545456
19,0,0.0
7,0,0.0
5,3,0.6
33,2,0.06060606060606061
7,1,0.14285714285714285
9,9,1.0
2,0,0.0
15,0,0.0
1,0,0.0
3,3,1.0
18,1,0.05555555555555555
1,0,0.0
10,0,0.0
10,0,0.0
4,0,0.0
15,1,0.06666666666666667
5,1,0.2
7,1,0.14285714285714285
3,0,0.0
4,0,0.0
17,0,0.0
12,0,0.0
38,36,0.9473684210526315
10,0,0.0
12,0,0.0
16,1,0.0625
6,5,0.8333333333333334
2,2,1.0
1,0,0.0
7,0,0.0
23,19,0.8260869565217391
21,20,0.9523809523809523
24,0,0.0
21,0,0.0
4,1,0.25
14,2,0.14285714285714285
14,0,0.0
32,32,1.0
1,0,0.0
3,3,1.0
1,1,1.0
24,1,0.041666666666666664
1,0,0.0
16,1,0.0625
8,1,0.125
29,3,0.10344827586206896
2,0,0.0
4,0,0.0
11,0,0.0
10,0,0.0
7,2,0.2857142857142857
2,0,0.0
13,12,0.9230769230769231
19,0,0.0
4,0,0.0
14,5,0.35714285714285715
1,0,0.0
5,0,0.0
17,0,0.0
30,0,0.0
229,181,0.7903930131004366
3,0,0.0
5,2,0.4
23,0,0.0
2,2,1.0
28,0,0.0
23,0,0.0
20,17,0.85
7,0,0.0
1,0,0.0
25,8,0.32
25,15,0.6
10,0,0.0
2,2,1.0
23,1,0.043478260869565216
17,3,0.17647058823529413
5,0,0.0
17,4,0.23529411764705882
6,0,0.0
8,0,0.0
1,0,0.0
32,0,0.0
3,2,0.6666666666666666
5,0,0.0
4,0,0.0
61,17,0.2786885245901639
7,0,0.0
16,4,0.25
10,0,0.0
26,0,0.0
24,0,0.0
21,5,0.23809523809523808
73,2,0.0273972602739726
3,0,0.0
1,0,0.0
11,0,0.0
8,0,0.0
13,1,0.07692307692307693
11,4,0.36363636363636365
4,0,0.0
15,6,0.4
21,0,0.0
1,0,0.0
8,3,0.375
5,1,0.2
24,1,0.041666666666666664
26,0,0.0
11,0,0.0
2,0,0.0
3,1,0.3333333333333333
1,0,0.0
1,0,0.0
1,0,0.0
26,22,0.8461538461538461
14,3,0.21428571428571427
3,0,0.0
7,0,0.0
23,19,0.8260869565217391
171,4,0.023391812865497075
13,3,0.23076923076923078
4,3,0.75
3,0,0.0
3,2,0.6666666666666666
9,0,0.0
15,1,0.06666666666666667
5,1,0.2
14,0,0.0
1,1,1.0
24,0,0.0
203,17,0.08374384236453201
11,0,0.0
9,0,0.0
10,0,0.0
22,2,0.09090909090909091
1,0,0.0
26,0,0.0
18,0,0.0
19,0,0.0
11,5,0.45454545454545453
79,76,0.9620253164556962
7,0,0.0
23,17,0.7391304347826086
1,0,0.0
3,0,0.0
3,3,1.0
12,0,0.0
2,1,0.5
8,0,0.0
191,9,0.04712041884816754
47,8,0.1702127659574468
7,0,0.0
2,0,0.0
27,5,0.18518518518518517
18,1,0.05555555555555555
22,2,0.09090909090909091
8,2,0.25
23,15,0.6521739130434783
10,0,0.0
1,1,1.0
16,2,0.125
7,0,0.0
2,1,0.5
5,3,0.6
27,0,0.0
1,1,1.0
26,22,0.8461538461538461
4,0,0.0
2,0,0.0
1,0,0.0
25,24,0.96
7,1,0.14285714285714285
6,0,0.0
2,0,0.0
2,0,0.0
18,0,0.0
4,0,0.0
13,4,0.3076923076923077
1,0,0.0
11,0,0.0
8,0,0.0
10,0,0.0
20,0,0.0
22,0,0.0
12,6,0.5
11,0,0.0
5,1,0.2
1,0,0.0
8,0,0.0
24,8,0.3333333333333333
14,6,0.42857142857142855
5,2,0.4
15,6,0.4
13,0,0.0
27,20,0.7407407407407407
19,6,0.3157894736842105
1,0,0.0
16,1,0.0625
11,0,0.0
3,0,0.0
15,4,0.26666666666666666
1,0,0.0
29,1,0.034482758620689655
3,0,0.0
29,0,0.0
8,7,0.875
11,1,0.09090909090909091
13,6,0.46153846153846156
5,1,0.2
3,0,0.0
2,2,1.0
11,1,0.09090909090909091
2,1,0.5
16,13,0.8125
2,0,0.0
18,6,0.3333333333333333
5,0,0.0
110,4,0.03636363636363636
10,0,0.0
17,2,0.11764705882352941
7,0,0.0
1,1,1.0
13,0,0.0
36,0,0.0
31,1,0.03225806451612903
2,2,1.0
18,14,0.7777777777777778
221,61,0.27601809954751133
2,1,0.5
25,20,0.8
10,0,0.0
20,1,0.05
15,2,0.13333333333333333
3,0,0.0
32,0,0.0
14,5,0.35714285714285715
20,0,0.0
8,0,0.0
12,0,0.0
10,0,0.0
52,11,0.21153846153846154
1,0,0.0
2,0,0.0
3,3,1.0
6,0,0.0
5,0,0.0
12,5,0.4166666666666667
1,0,0.0
2,0,0.0
1,0,0.0
12,1,0.08333333333333333
13,0,0.0
1,0,0.0
21,6,0.2857142857142857
3,3,1.0
26,0,0.0
343,130,0.37900874635568516
9,2,0.2222222222222222
26,0,0.0
8,0,0.0
21,4,0.19047619047619047
47,0,0.0
1,0,0.0
15,3,0.2
6,0,0.0
8,4,0.5
27,23,0.8518518518518519
13,7,0.5384615384615384
22,2,0.09090909090909091
17,0,0.0
2,0,0.0
14,8,0.5714285714285714
22,11,0.5
8,2,0.25
3,0,0.0
1,0,0.0
14,0,0.0
17,0,0.0
4,0,0.0
8,0,0.0
8,0,0.0
21,5,0.23809523809523808
11,0,0.0
14,0,0.0
15,0,0.0
13,0,0.0
18,5,0.2777777777777778
12,2,0.16666666666666666
11,0,0.0
7,0,0.0
11,0,0.0
4,2,0.5
1,0,0.0
21,0,0.0
2,0,0.0
1,0,0.0
3,1,0.3333333333333333
22,0,0.0
7,0,0.0
22,22,1.0
12,8,0.6666666666666666
19,2,0.10526315789473684
24,12,0.5
2,0,0.0
11,11,1.0
11,0,0.0
1,0,0.0
1,0,0.0
6,0,0.0
20,0,0.0
15,1,0.06666666666666667
108,2,0.018518518518518517
1,0,0.0
17,0,0.0
28,0,0.0
7,0,0.0
4,3,0.75
5,0,0.0
1,1,1.0
13,1,0.07692307692307693
1,0,0.0
24,8,0.3333333333333333
59,59,1.0
21,0,0.0
1,0,0.0
8,0,0.0
8,4,0.5
